X-Axis,min T/W,max T/W
0.2,31.57126153202458,48.38841029713934
0.19,32.3119115348477,47.865467115226274
0.18,33.083906211813954,47.34252384665324
0.17,33.88453032161659,46.81958052516471
0.16,34.715852691561075,46.29663720399979
0.15,35.580111627201504,45.534652131982654
0.14,36.47970954368954,44.227255020490006
0.13,37.41725632219149,42.952494205885806
0.12,38.39558879586863,41.70413708256069
0.11,39.41780006362225,40.00880578452469
0.10782522000449037,39.64010852525174,39.64010852525174
